iter	Passed	Remaining
0	91	91624
1	92	46138
2	93	30954
3	93	23358
4	94	18805
5	95	15794
6	96	13650
7	96	12015
8	97	10743
9	98	9724
10	98	8890
11	99	8208
12	100	7621
13	101	7118
14	101	6691
15	102	6314
16	103	5976
17	104	5674
18	104	5412
19	105	5172
20	106	4954
21	107	4761
22	107	4585
23	108	4424
24	109	4272
25	110	4129
26	110	3995
27	111	3871
28	112	3756
29	112	3648
30	113	3552
31	114	3467
32	115	3379
33	116	3295
34	116	3216
35	117	3141
36	117	3070
37	118	3003
38	119	2938
39	120	2884
40	121	2832
41	121	2779
42	122	2726
43	123	2675
44	123	2626
45	124	2580
46	125	2535
47	125	2493
48	126	2455
49	127	2418
50	128	2382
51	128	2346
52	129	2311
53	130	2277
54	130	2245
55	131	2213
56	132	2184
57	133	2160
58	133	2135
59	134	2108
60	135	2081
61	135	2055
62	136	2031
63	137	2006
64	137	1983
65	138	1964
66	139	1944
67	139	1918
68	140	1897
69	141	1877
70	142	1859
71	142	1841
72	143	1823
73	144	1804
74	145	1792
75	146	1777
76	146	1761
77	147	1744
78	148	1728
79	149	1713
80	149	1698
81	150	1682
82	151	1671
83	152	1658
84	152	1642
85	153	1628
86	153	1612
87	154	1599
88	154	1586
89	155	1573
90	156	1562
91	157	1553
92	158	1542
93	158	1531
94	159	1519
95	160	1509
96	160	1498
97	161	1487
98	162	1477
99	163	1467
100	164	1462
101	164	1449
102	165	1440
103	165	1429
104	166	1420
105	167	1410
106	167	1401
107	168	1392
108	169	1384
109	170	1378
110	171	1371
111	171	1362
112	172	1354
113	173	1345
114	173	1337
115	174	1328
116	174	1320
117	175	1314
118	176	1307
119	177	1300
120	178	1294
121	178	1287
122	179	1277
123	179	1270
124	180	1263
125	181	1256
126	182	1251
127	182	1245
128	183	1240
129	184	1233
130	185	1228
131	185	1221
132	186	1215
133	187	1209
134	187	1203
135	188	1198
136	189	1194
137	190	1188
138	190	1182
139	191	1176
140	192	1171
141	192	1166
142	193	1160
143	194	1155
144	195	1152
145	196	1147
146	196	1141
147	197	1136
148	198	1131
149	198	1126
150	199	1121
151	200	1116
152	200	1112
153	201	1108
154	202	1103
155	202	1098
156	203	1093
157	204	1089
158	205	1084
159	205	1079
160	206	1075
161	207	1073
162	208	1068
163	208	1064
164	209	1060
165	210	1055
166	210	1051
167	211	1047
168	212	1042
169	212	1039
170	213	1036
171	214	1032
172	215	1028
173	215	1024
174	216	1020
175	217	1016
176	217	1012
177	218	1008
178	219	1005
179	220	1003
180	220	998
181	221	994
182	221	990
183	222	986
184	223	983
185	223	979
186	224	975
187	225	972
188	226	970
189	226	966
190	227	963
191	228	960
192	228	957
193	229	953
194	230	950
195	230	947
196	231	944
197	232	942
198	233	939
199	234	936
200	234	932
201	235	929
202	236	926
203	236	923
204	237	920
205	238	918
206	239	916
207	239	913
208	240	909
209	241	906
210	241	903
211	242	901
212	243	898
213	243	896
214	245	894
215	245	892
216	246	889
217	247	886
218	247	883
219	248	880
220	249	877
221	249	875
222	250	874
223	251	872
224	252	869
225	253	867
226	253	864
227	254	862
228	255	859
229	255	856
230	256	855
231	257	853
232	258	850
233	259	848
234	259	845
235	260	842
236	260	840
237	261	837
238	262	835
239	263	833
240	264	831
241	264	829
242	265	826
243	266	824
244	266	821
245	267	819
246	267	816
247	268	814
248	269	813
249	270	810
250	271	808
251	271	806
252	272	804
253	272	801
254	273	799
255	274	797
256	275	795
257	275	793
258	276	791
259	277	789
260	278	787
261	278	785
262	279	782
263	280	780
264	280	778
265	281	776
266	282	774
267	282	772
268	283	770
269	284	768
270	284	766
271	285	764
272	286	761
273	286	759
274	287	758
275	288	756
276	289	754
277	289	752
278	290	751
279	291	749
280	292	747
281	292	745
282	293	743
283	294	741
284	294	740
285	295	738
286	296	736
287	296	734
288	297	732
289	298	730
290	298	728
291	299	726
292	300	724
293	301	723
294	301	721
295	302	719
296	303	717
297	303	715
298	304	713
299	305	712
300	305	710
301	306	709
302	307	707
303	308	705
304	308	703
305	309	701
306	310	700
307	310	698
308	311	696
309	312	695
310	313	693
311	314	692
312	314	691
313	315	689
314	316	688
315	317	686
316	318	685
317	319	684
318	319	682
319	320	680
